Created Time,Site,Partner Domain,OriginCity,DestinationCity,JourneyType,Out Date,Return Date,Num Adt,Num Cnn,Num Inf,Cabin Classes,Total Stops,ID,MarketingCarriers,Sessions ID,ID,Num Orders
2025-09-09 10:37:50,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495418650,0
2025-09-09 10:37:48,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495426997,0
2025-09-09 10:37:47,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495565217,0
2025-09-09 10:37:46,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495583521,0
2025-09-09 10:37:44,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495261881,0
2025-09-09 10:37:43,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495753089,0
2025-09-09 10:37:41,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495601133,0
2025-09-09 10:37:40,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495789002,0
2025-09-09 10:37:26,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,2,2442,"AM,NK",1582065289991,2495630274,0
2025-09-09 10:37:21,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495743047,0
2025-09-09 10:37:18,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,AA,1582065289991,2495352948,0
2025-09-09 10:37:17,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495591483,0
2025-09-09 10:37:16,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495352947,0
2025-09-09 10:37:03,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,2,2442,"AC,NK",1582065289991,2495626265,0
2025-09-09 10:36:56,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,1,2442,"AM,NK",1582065289991,2495591481,0
2025-09-09 10:36:53,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,AC,1582065289991,2495665073,0
2025-09-09 10:36:51,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495441988,0
2025-09-09 10:36:48,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,AC,1582065289991,2495666111,0
2025-09-09 10:36:45,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495715264,0
2025-09-09 10:36:43,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495510854,0
2025-09-09 10:36:39,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,AC,1582065289991,2495367764,0
2025-09-09 10:36:29,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,AC,1582065289991,2495741043,0
2025-09-09 10:36:18,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,AA,1582065289991,2495624286,0
2025-09-09 10:35:21,booking_co,booking,Medellin,Mexico City,One-Way,2025-09-17,,1,0,0,Y,,2445,CM,1582106279898,2495745069,0
2025-09-09 10:35:10,booking_co,booking,Medellin,Mexico City,One-Way,2025-09-17,,1,0,0,Y,,2445,AV,1582106279898,2495608424,0
2025-09-09 10:35:00,booking_co,booking,Medellin,Mexico City,One-Way,2025-09-17,,1,0,0,Y,1,2445,"AV,LA",1582106279898,2495602857,0
2025-09-09 10:34:52,booking_co,booking,Medellin,Mexico City,One-Way,2025-09-17,,1,0,0,Y,,2445,AV,1582106279898,2495583489,0
2025-09-09 10:34:51,booking_co,booking,Medellin,Mexico City,One-Way,2025-09-17,,1,0,0,Y,,2445,"CM,JA",1582106279898,2495466354,0
2025-09-09 10:34:43,booking_co,booking,Medellin,Mexico City,One-Way,2025-09-17,,1,0,0,Y,,2445,AV,1582106279898,2495441971,0
2025-09-09 10:34:40,booking_co,booking,Medellin,Mexico City,One-Way,2025-09-17,,1,0,0,Y,,2445,CM,1582106279898,2495496278,0
2025-09-09 10:34:34,booking_co,booking,Medellin,Mexico City,One-Way,2025-09-17,,1,0,0,Y,1,2445,"AM,JA",1582106279898,2495441969,0
2025-09-09 10:34:31,booking_co,booking,Medellin,Mexico City,One-Way,2025-09-17,,1,0,0,Y,,2445,CM,1582106279898,2495486999,0
2025-09-09 10:34:27,booking_co,booking,Medellin,Mexico City,One-Way,2025-09-17,,1,0,0,Y,,2445,CM,1582106279898,2495539845,0
2025-09-09 10:34:24,booking_co,booking,Medellin,Mexico City,One-Way,2025-09-17,,1,0,0,Y,,2445,CM,1582106279898,2495425505,0
2025-09-09 10:34:20,booking_co,booking,Medellin,Mexico City,One-Way,2025-09-17,,1,0,0,Y,,2445,CM,1582106279898,2495486998,0
